DATE,POPTOTUSA647NWDB
1/1/1960,180671000
1/1/1961,183691000
1/1/1962,186538000
1/1/1963,189242000
1/1/1964,191889000
1/1/1965,194303000
1/1/1966,196560000
1/1/1967,198712000
1/1/1968,200706000
1/1/1969,202677000
1/1/1970,205052000
1/1/1971,207661000
1/1/1972,209896000
1/1/1973,211909000
1/1/1974,213854000
1/1/1975,215973000
1/1/1976,218035000
1/1/1977,220239000
1/1/1978,222585000
1/1/1979,225055000
1/1/1980,227225000
1/1/1981,229466000
1/1/1982,231664000
1/1/1983,233792000
1/1/1984,235825000
1/1/1985,237924000
1/1/1986,240133000
1/1/1987,242289000
1/1/1988,244499000
1/1/1989,246819000
1/1/1990,249623000
1/1/1991,252981000
1/1/1992,256514000
1/1/1993,259919000
1/1/1994,263126000
1/1/1995,266278000
1/1/1996,269394000
1/1/1997,272657000
1/1/1998,275854000
1/1/1999,279040000
1/1/2000,282162411
1/1/2001,284968955
1/1/2002,287625193
1/1/2003,290107933
1/1/2004,292805298
1/1/2005,295516599
1/1/2006,298379912
1/1/2007,301231207
1/1/2008,304093966
1/1/2009,306771529
1/1/2010,309327143
1/1/2011,311583481
1/1/2012,313877662
1/1/2013,316059947
1/1/2014,318386329
1/1/2015,320738994
1/1/2016,323071755
1/1/2017,325122128
1/1/2018,326838199
1/1/2019,328329953
1/1/2020,331526933
1/1/2021,332048977
1/1/2022,333271411
1/1/2023,334914895
